structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
IPR001073,1,33,162,20230,0.237692366936797,0.288435681226675,0.000231481481481481,0.577966928350286,./generated_files/OUT/OUT
IPR017455,1,34,162,20230,0.243758475422711,0.29414430553802,0.000231481481481481,0.565001951185919,./generated_files/OUT/OUT
IPR001452,3,214,162,20230,0.248399782709973,0.298079739251968,0.000231481481481481,0.243188349598645,./generated_files/OUT/OUT
IPR001828,1,36,162,20230,0.255747142073138,0.30520100932485,0.000231481481481481,0.540178367460886,./generated_files/OUT/OUT
IPR001839,1,37,162,20230,0.261670451480367,0.31055394241626,0.000231481481481481,0.528279144161179,./generated_files/OUT/OUT
IPR002048,3,226,162,20230,0.274050940954213,0.323469963093497,0.000231481481481481,0.219493683800435,./generated_files/OUT/OUT
IPR000008,2,128,162,20230,0.276364355204969,0.324427721327572,0.000231481481481481,0.290300894244287,./generated_files/OUT/OUT
IPR001487,1,41,162,20230,0.284898824634648,0.332638627681535,0.000231481481481481,0.483697011508438,./generated_files/OUT/OUT
IPR003593,2,135,162,20230,0.296935707269511,0.342984560268526,0.000231481481481481,0.267177095397149,./generated_files/OUT/OUT
IPR015940,1,43,162,20230,0.296239179008604,0.342984560268526,0.000231481481481481,0.463012412648587,./generated_files/OUT/OUT
IPR004031,1,44,162,20230,0.301842149964011,0.346797363788438,0.000231481481481481,0.453028191741986,./generated_files/OUT/OUT
